Epoch,Training Loss,Training Accuracy,Validation Loss,Validation Accuracy
1,0.2433267430142308,nan,0.06747574904916163,0.9608644859813084
2,0.04189362599825811,nan,0.011523598513503559,0.991822429906542
3,0.0128011290385291,nan,0.00550974419463162,0.9970794392523364
4,0.005716255121376102,nan,0.0037004673767849594,0.9970794392523364
5,0.0024991259842694125,nan,0.011556154095471604,0.9941588785046729
6,0.004264584638283407,nan,0.0010975056711835238,0.9988317757009346
7,0.001996015546631498,nan,0.00022835006542090542,0.9994158878504673
8,0.0002938135703577889,nan,2.0803841955594213e-08,1.0
9,8.779042937068767e-05,nan,1.0470277602739564e-08,1.0
10,1.3449145438198032e-05,nan,1.0943847361303157e-08,1.0
11,3.191856710057004e-05,nan,1.247333451648084e-08,1.0
12,3.452017205016589e-08,nan,5.844168339659107e-06,1.0
13,0.0051591771589142455,nan,0.02196932203030211,0.9929906542056075
14,0.008362419567936276,nan,0.002927152183192365,0.9976635514018691
15,0.0007439345252065202,nan,4.187206744604003e-09,1.0
16,0.0005991771484103126,nan,1.41459625772338e-09,1.0
17,2.0041402299318638e-07,nan,7.02127506986191e-10,1.0
18,9.087970241381974e-09,nan,5.806893999339309e-10,1.0
19,2.654968659276229e-06,nan,5.138951617881896e-10,1.0
20,6.808855040258032e-06,nan,3.8770336943621224e-10,1.0
21,1.4247185462578596e-07,nan,1.8019952656233746e-09,1.0
22,3.268142863180002e-08,nan,6.122992521145234e-10,1.0
23,0.0190185886529113,nan,0.07906076832548277,0.9883177570093458
24,0.009194702132755736,nan,3.166286463388749e-08,1.0
25,6.211940833171147e-05,nan,1.0866556167308745e-09,1.0
26,1.9615667626092005e-05,nan,1.198978768808333e-09,1.0
27,1.668338647857735e-08,nan,5.165914878014848e-10,1.0
28,5.7539199880083806e-08,nan,1.4297299073979839e-09,1.0
29,8.677751658860665e-08,nan,5.427125395287795e-10,1.0
30,1.29692291313436e-06,nan,3.142910395892286e-10,1.0
31,3.05739174392728e-08,nan,3.0807976640487106e-10,1.0
32,3.2130582108446943e-09,nan,6.576074986425388e-11,1.0
33,2.133861581067058e-06,nan,2.2632133879132053e-10,1.0
34,1.1374191978518965e-07,nan,8.5956287802188e-10,1.0
35,0.00011025402694984794,nan,8.86125851362765e-10,1.0
36,2.6048114812600303e-05,nan,2.3831368060874462e-09,1.0
37,0.00105261878474282,nan,6.978123217267176e-11,1.0
38,0.00020594515582393575,nan,0.00010347079796293258,1.0
39,0.0038542154878681194,nan,0.08355364799269462,0.9824766355140186
40,0.007838257403667047,nan,0.0037240072603199493,0.9970794392523364
41,4.9027995242511264e-05,nan,3.0900699699089816e-10,1.0
42,3.521177554293705e-08,nan,4.72109924847564e-10,1.0
43,0.0005041702708101597,nan,4.52057764488307e-11,1.0
44,2.7313845937040764e-09,nan,2.853198619572925e-11,1.0
45,1.7977465562902447e-08,nan,1.96805709490502e-11,1.0
46,5.9841062427498736e-09,nan,1.9027013170026473e-11,1.0
47,3.4426445856664632e-09,nan,1.6109972588081862e-11,1.0
48,2.1493687195431284e-09,nan,1.838567471049685e-11,1.0
49,5.4227554912366095e-11,nan,1.6787652261273817e-11,1.0
50,0.017185784520075267,nan,0.005615706752735369,0.9959112149532711
51,0.00029105918614700946,nan,7.362405393760467e-09,1.0
52,8.232964384842447e-09,nan,5.934256047964971e-10,1.0
53,1.0923416416414413e-08,nan,2.957009885224642e-10,1.0
54,3.0028458577912652e-09,nan,1.962079154069285e-10,1.0
55,4.4827942080541686e-05,nan,1.813359237332315e-09,1.0
56,1.0876557861710821e-07,nan,1.6723259271306135e-10,1.0
57,1.482101723913242e-09,nan,6.713205654533782e-11,1.0
58,1.9355311381969029e-10,nan,7.995889338963922e-11,1.0
59,2.0741462381746982e-10,nan,6.695717947171413e-11,1.0
60,5.1241856360484825e-08,nan,5.929052329996393e-11,1.0
61,5.537670470536507e-09,nan,1.1971622997928343e-10,1.0
62,1.6456073345243992e-07,nan,1.3227612989980323e-10,1.0
63,3.9380697074150937e-10,nan,8.930322948504376e-11,1.0
64,3.9599179866762405e-10,nan,1.347234373549293e-10,1.0
65,1.7210140570528385e-10,nan,5.52587737278702e-11,1.0
66,1.8061374621934063e-09,nan,3.3227132719353926e-11,1.0
67,3.566741984418836e-09,nan,3.00174855368516e-10,1.0
68,3.055123162113151e-10,nan,8.884972029861129e-11,1.0
69,1.3481242626766312e-10,nan,5.635342072841445e-11,1.0
70,1.1986376339571503e-10,nan,5.022144246318164e-11,1.0
71,1.2019380257632805e-10,nan,5.345404319779647e-11,1.0
72,1.1444040397849217e-10,nan,6.576006293845593e-11,1.0
73,8.073689742575404e-10,nan,5.2710114561209455e-11,1.0
74,7.89729256736598e-10,nan,2.7639626831106736e-11,1.0
75,1.3259458670603476e-08,nan,5.883874411426836e-11,1.0
76,1.5452175420157473e-10,nan,5.3224582054840375e-11,1.0
77,9.743138451661767e-11,nan,3.773267065737205e-11,1.0
78,3.4320348452318004e-10,nan,3.351805819642725e-11,1.0
79,2.026537504137096e-10,nan,3.678375117241744e-11,1.0
80,9.046157074733847e-05,nan,3.567254844700349e-11,1.0
81,5.642572999944945e-10,nan,4.221680812007897e-11,1.0
82,8.019901741676922e-10,nan,4.200885267653478e-11,1.0
83,2.129521191561737e-10,nan,3.992069946963411e-11,1.0
84,1.7487654968859138e-08,nan,4.7470891071110516e-11,1.0
85,1.0706687424503528e-10,nan,3.602927816559966e-11,1.0
86,1.591843234766268e-08,nan,4.199551261640003e-11,1.0
87,4.1348328895918327e-10,nan,3.810119867122877e-11,1.0
88,2.1628780128118756e-10,nan,6.080253524925447e-11,1.0
89,1.9309647307335317e-10,nan,4.1229251589670456e-11,1.0
90,1.5287578080116723e-08,nan,5.466362762375064e-11,1.0
91,1.7918352874964752e-10,nan,3.512296190204945e-11,1.0
92,2.305291996796059e-09,nan,5.009461041355465e-11,1.0
93,1.7490102588711856e-09,nan,4.319806505905442e-11,1.0
94,1.1416557522255954e-05,nan,4.793293725974949e-11,1.0
95,4.507074572064491e-10,nan,4.074773772976669e-11,1.0
96,4.4465265775382976e-08,nan,3.076968994941758e-11,1.0
97,8.447361246403226e-11,nan,4.645355302440024e-11,1.0
98,9.914453070449105e-11,nan,3.517665108952758e-11,1.0
99,2.39155849155343e-10,nan,4.5144809265803584e-11,1.0
100,4.666656234548635e-09,nan,3.943429377400973e-11,1.0
